,ax_01_0_plot_x,ax_01_0_plot_y,ax_01_1_plot_x,ax_01_1_plot_y,ax_01_2_plot_x,ax_01_2_plot_y,ax_01_3_plot_x,ax_01_3_plot_y,ax_02_0_plot_x,ax_02_0_plot_y,ax_02_1_plot_x,ax_02_1_plot_y,ax_02_2_plot_x,ax_02_2_plot_y,ax_02_3_plot_x,ax_02_3_plot_y,ax_02_4_plot_x,ax_02_4_plot_y,ax_02_5_plot_x,ax_02_5_plot_y,ax_02_6_plot_x,ax_02_6_plot_y
0,0,0.00013741558,0,-2.6164087e-06,0,5.4361127e-08,0,4.003345e-05,0,0.00014743357,0,5.497659e-05,0,4.1036466e-05,0,-2.4016494e-05,0,-3.053739e-06,0,6.559953e-05,0,-1.981578e-06
1,1,0.0013958565,1,-2.3248982e-05,1,6.101529e-07,1,0.00035138486,1,0.0012381773,1,0.0003755946,1,0.00030786806,1,-0.00015027796,1,-2.4410223e-05,1,4.3911194e-05,1,-1.7856903e-05
2,2,0.0071731703,2,-0.00010419714,2,3.406654e-06,2,0.0015509819,2,0.0050942623,2,0.0011271788,2,0.0010428955,2,-0.00037890335,2,-8.49452e-05,2,-0.0008086679,2,-7.607561e-05
3,3,0.025262926,3,-0.0003212772,3,1.2820406e-05,3,0.0046966164,3,0.013863,3,0.0018052784,3,0.0020060102,3,-0.00036520764,3,-0.00015669856,3,-0.001637063,3,-0.00020223302
4,4,0.0694588,4,-0.00078049995,4,3.716891e-05,4,0.011175937,4,0.028217493,4,0.0010150608,4,0.0019505747,4,0.0004580889,4,-0.000110469686,4,0.0016644244,4,-0.00036525866
5,5,0.16034698,5,-0.0016114893,5,8.977809e-05,5,0.022536272,5,0.045487907,5,-0.0025137702,5,-0.0008803847,5,0.0020951908,5,0.00020759426,5,0.008405634,5,-0.0004307076
6,6,0.3252159,6,-0.0029620759,6,0.00019010656,6,0.040309872,6,0.058802918,6,-0.008163869,6,-0.006957541,6,0.003267697,6,0.0007582001,6,0.00544663,6,-0.00018745929
7,7,0.59711,7,-0.0049947705,7,0.00036512845,7,0.06584243,7,0.05793747,7,-0.012480614,7,-0.013571484,7,0.0018941544,7,0.0011556896,7,-0.01540403,7,0.0005235209
8,8,1.0130688,8,-0.007884064,8,0.0006507136,8,0.10013323,8,0.032042414,8,-0.010389133,8,-0.014885095,8,-0.0030237897,8,0.0008168015,8,-0.030516803,8,0.0016276402
9,9,1.6116204,9,-0.0118125435,9,0.0010924406,9,0.14369525,9,-0.026228324,9,0.0014706289,9,-0.0051202374,9,-0.009451178,9,-0.00058884424,9,-0.003046323,9,0.00269757
10,10,2.4296556,10,-0.016964616,10,0.0017454192,10,0.19644174,10,-0.11628432,10,0.021081401,10,0.016290914,10,-0.012362338,10,-0.0026750688,10,0.05410091,10,0.003016649
11,11,3.4988866,11,-0.023518732,11,0.0026732476,11,0.25760338,11,-0.22630599,11,0.039716158,11,0.041048218,11,-0.0067378315,11,-0.0042357803,11,0.064591706,11,0.0018698769
12,12,4.8421373,12,-0.031640206,12,0.0039466056,12,0.3256789,12,-0.3324966,12,0.04478039,12,0.05353143,12,0.007923465,12,-0.0037097188,12,-0.018751476,12,-0.0010207943
