,ax_01_0_plot_x,ax_01_0_plot_y,ax_01_1_plot_x,ax_01_1_plot_y,ax_01_2_plot_x,ax_01_2_plot_y,ax_01_3_plot_x,ax_01_3_plot_y,ax_02_0_plot_x,ax_02_0_plot_y,ax_02_1_plot_x,ax_02_1_plot_y,ax_02_2_plot_x,ax_02_2_plot_y,ax_02_3_plot_x,ax_02_3_plot_y,ax_02_4_plot_x,ax_02_4_plot_y,ax_02_5_plot_x,ax_02_5_plot_y,ax_02_6_plot_x,ax_02_6_plot_y
0,0,-2.3878913e-06,0,-4.2933512e-05,0,0.00059613015,0,-0.0004279032,0,-1.6734342e-05,0,0.00020547214,0,-0.0007027934,0,0.00065517804,0,-0.0007425733,0,-0.0024981825,0,-0.02111138
1,1,-2.172356e-05,1,-0.00037770657,1,0.005158138,1,-0.0037257848,1,-0.00013110331,1,0.0015300517,1,-0.0053346655,1,0.004609275,1,-0.0050254995,1,-0.023200067,1,-0.07910064
2,2,-0.00010006256,2,-0.0016719537,2,0.022367472,2,-0.016272483,2,-0.0004912733,2,0.005300443,2,-0.018890973,2,0.01441448,2,-0.014390248,2,-0.081542075,2,-0.009005769
3,3,-0.00031820222,3,-0.0050821723,3,0.06631467,3,-0.048618127,3,-0.001175886,3,0.011163713,3,-0.040880512,3,0.024777405,3,-0.019492684,3,-0.11491864,3,0.4028691
4,4,-0.00079967186,4,-0.012157926,4,0.15400864,4,-0.11379662,4,-0.0019854493,4,0.014840101,4,-0.056866568,4,0.018300736,4,0.0011948615,4,0.07548302,4,0.66851914
5,5,-0.0017120695,5,-0.024703093,5,0.302212,5,-0.22498848,5,-0.0023407903,5,0.008564889,5,-0.039719727,5,-0.023672368,5,0.059362214,5,0.57733953,5,-0.32189953
6,6,-0.0032685031,6,-0.044652004,6,0.5245376,6,-0.39321774,6,-0.0014062575,6,-0.01487415,6,0.034957744,6,-0.09813986,6,0.12540407,6,0.9332329,6,-2.2719953
7,7,-0.0057287873,7,-0.073952295,7,0.8289211,7,-0.6252294,7,0.0015524637,7,-0.05609412,7,0.16574349,7,-0.16424331,7,0.12612598,7,0.25302684,7,-2.2810948
8,8,-0.009399159,8,-0.11443937,8,1.2155548,8,-0.9216759,8,0.006672023,8,-0.10419766,8,0.30874974,8,-0.15410592,8,-0.004597882,8,-1.7047951,8,1.9140581
9,9,-0.014629383,9,-0.16769587,9,1.6753525,9,-1.2757223,9,0.013049542,9,-0.13628386,9,0.38163665,9,-0.0148876,9,-0.24802376,9,-3.4421382,9,6.978128
10,10,-0.021807326,10,-0.23490857,10,2.1890051,10,-1.6721612,10,0.018591154,10,-0.12329203,10,0.29395863,10,0.23868668,10,-0.46286097,10,-2.3720753,10,5.308793
11,11,-0.03135213,11,-0.3167446,11,2.7266817,11,-2.087109,11,0.020332392,11,-0.041519962,11,-0.0042959754,11,0.49847755,11,-0.44405806,11,2.44935,11,-5.4395356
12,12,-0.043707028,12,-0.41325974,12,3.2483943,12,-2.4883256,12,0.015260414,12,0.11363289,12,-0.4766777,12,0.59420013,12,-0.06719987,12,7.9218535,12,-15.394873
13,13,-0.05933206,13,-0.5238371,13,3.7050116,13,-2.8361652,13,0.0014710301,13,0.31705615,13,-0.9820414,13,0.38136634,13,0.57035595,13,8.182174,13,-10.253338
14,14,-0.07869565,14,-0.64713806,14,4.0398703,14,-3.085133,14,-0.020676645,14,0.51192784,14,-1.3021942,14,-0.15394534,14,1.1268371,14,-0.03757385,14,10.702272
15,15,-0.10226388,15,-0.78105575,15,4.1909065,15,-3.1859853,15,-0.047813844,15,0.6197696,15,-1.2158545,15,-0.8365331,15,1.1702403,15,-12.375844,15,27.574766
16,16,-0.13048778,16,-0.92267996,16,4.093237,16,-3.088286,16,-0.07356926,16,0.56221926,16,-0.59759736,16,-1.3408192,16,0.45348063,16,-18.07169,16,17.696356
17,17,-0.16378982,17,-1.0682942,17,3.682106,17,-2.7433267,17,-0.08951307,17,0.28970727,17,0.49615955,17,-1.330954,17,-0.84670943,17,-8.665599,17,-16.57381
18,18,-0.20255083,18,-1.2134144,18,2.8961062,18,-2.1072795,18,-0.086995155,18,-0.1914436,18,1.7951968,18,-0.6463118,18,-2.1018474,18,12.403208,18,-42.647724
19,19,-0.24709812,19,-1.3528705,19,1.6805556,19,-1.1444491,19,-0.059579775,19,-0.80338067,19,2.8644738,19,0.5628081,19,-2.495602,19,29.076069,19,-28.074686
20,20,-0.29769424,20,-1.4809078,20,-0.009105369,20,0.16953158,20,-0.005553126,20,-1.4007244,20,3.2326555,20,1.8361806,20,-1.4919395,20,24.400959,20,21.297594
21,21,-0.3545252,21,-1.5912998,21,-2.20405,21,1.8447267,21,0.070163764,21,-1.7976117,21,2.5658276,21,2.5694544,21,0.73518866,21,-3.4059203,21,58.9542
22,22,-0.4176882,22,-1.6774597,22,-4.919054,22,3.8743026,22,0.15537283,22,-1.8143939,22,0.8272888,22,2.288835,22,3.1964443,22,-35.194668,22,41.44495
23,23,-0.48717952,23,-1.7325732,23,-8.149852,23,6.232454,23,0.23172477,23,-1.3336914,23,-1.6410897,23,0.91183794,23,4.4668045,23,-43.55304,23,-22.95693
24,24,-0.56288373,24,-1.7497568,24,-11.8709755,24,8.872987,24,0.27774435,24,-0.35061687,24,-4.161517,24,-1.1405768,24,3.448689,24,-16.093204,24,-74.346214
25,25,-0.6445661,25,-1.722246,25,-16.034132,25,11.728652,25,0.2734038,25,0.99909806,25,-5.8933554,25,-3.0593295,25,0.1428689,25,30.237526,25,-57.337513
26,26,-0.731866,26,-1.6435931,26,-20.567284,26,14.711343,26,0.20541252,26,2.4456735,26,-6.0958366,26,-3.966303,26,-4.060182,26,58.808937,26,19.942614
27,27,-0.82429236,27,-1.5078561,27,-25.374413,27,17.71319,27,0.07205157,27,3.631211,27,-4.401013,27,-3.310815,27,-6.8827405,27,42.37134,27,86.56519
28,28,-0.92121935,28,-1.309772,28,-30.336159,28,20.608612,28,-0.11370988,28,4.189118,28,-1.0026067,28,-1.164929,28,-6.3427396,28,-11.58757,28,74.739204
29,29,-1.0218824,29,-1.044919,29,-35.311207,29,23.257307,29,-0.3238834,29,3.8407357,29,3.3168707,29,1.7325597,29,-2.0349197,29,-62.460697,29,-11.30689
30,30,-1.1253783,30,-0.7098825,30,-40.13855,30,25.508114,30,-0.5185152,30,2.4855435,30,7.352443,30,4.230991,30,4.2783732,30,-67.35081,30,-93.61192
31,31,-1.230666,31,-0.30242953,31,-44.64048,31,27.203709,31,-0.6520605,31,0.25953072,31,9.806038,31,5.234506,31,9.29314,31,-17.566292,31,-92.20207
32,32,-1.336573,32,0.17831875,32,-48.626335,32,28.185951,32,-0.68226486,32,-2.4587486,32,9.689966,32,4.187716,32,9.865565,32,50.50434,32,-3.053196
33,33,-1.441804,33,0.73174983,33,-51.896935,33,28.301798,33,-0.580041,33,-5.1037908,33,6.6808667,33,1.3626001,33,4.9323483,33,82.16977,33,94.044716
34,34,-1.5449492,34,1.3556488,34,-54.249626,34,27.4096,34,-0.3383369,34,-7.0347657,34,1.3035917,34,-2.1974444,34,-3.5075157,34,49.11006,34,108.044685
35,35,-1.6444942,35,2.0461419,35,-55.48382,35,25.38558,35,0.022133643,35,-7.682152,35,-5.132323,35,-5.075198,35,-11.113165,35,-25.047132,35,22.390318
36,36,-1.7388333,36,2.7976527,36,-55.40694,36,22.130245,36,0.45208976,36,-6.696849,36,-10.848435,36,-6.063382,36,-13.440488,36,-81.499695,36,-87.16739
37,37,-1.8262839,37,3.6028795,37,-53.840492,37,17.574602,37,0.87880725,37,-4.0647116,37,-14.090137,37,-4.6867623,37,-8.542466,37,-73.669876,37,-120.59857
38,38,-1.9051048,38,4.452794,38,-50.626297,38,11.6857815,38,1.2170244,38,-0.15399197,38,-13.658539,38,-1.4304245,38,1.5998428,38,-6.4973826,38,-45.251713
39,39,-1.9735147,39,5.3366747,39,-45.632526,39,4.4720078,39,1.3842232,39,4.323623,39,-9.320489,39,2.4363055,39,11.809803,39,66.10538,39,73.09313
40,40,-2.0297148,40,6.242182,40,-38.75961,40,-4.0133977,40,1.3177595,40,8.438418,40,-1.961457,40,5.374929,40,16.394566,40,85.01614,40,128.4489
41,41,-2.0719087,41,7.155488,41,-29.945604,41,-13.669158,41,0.9905924,41,11.233383,41,6.584213,41,6.2151537,41,12.361656,41,35.024708,41,69.722115
42,42,-2.0983214,42,8.06145,42,-19.171122,42,-24.344475,42,0.42221373,42,11.941333,42,13.997005,42,4.640881,42,1.3272327,42,-42.171318,42,-52.693184
43,43,-2.1072247,43,8.943796,43,-6.463429,43,-35.838947,43,-0.31809005,43,10.179626,43,18.110588,43,1.3155028,43,-11.086606,43,-82.70909,43,-130.6227
44,44,-2.0969553,44,9.785338,44,8.1003,44,-47.904003,44,-1.1173563,44,6.074718,44,17.546236,44,-2.4053588,44,-18.170485,44,-54.095844,44,-93.70333
45,45,-2.065943,45,10.56818,45,24.390789,45,-60.246063,45,-1.834509,45,0.28147393,45,12.156418,45,-5.046087,45,-15.813134,45,17.837109,45,27.45037
46,46,-2.012732,46,11.2739725,46,42.225544,46,-72.53131,46,-2.3235664,46,-6.1159506,46,3.1377141,46,-5.6195397,46,-4.8959374,46,71.55264,46,126.6914
47,47,-1.9360043,47,11.884192,47,61.368896,47,-84.391975,47,-2.4609354,47,-11.808251,47,-7.236005,47,-4.012821,47,9.000239,47,62.569126,47,115.17848
48,48,-1.8346015,48,12.380473,48,81.5334,48,-95.43436,48,-2.1719763,48,-15.531439,48,-16.200426,48,-0.9940753,48,18.497879,48,0.99583805,48,0.7508835
49,49,-1.707541,49,12.744914,49,102.38239,49,-105.248024,49,-1.4515624,49,-16.347086,49,-21.252426,49,2.148563,49,18.39519,49,-58.326225,49,-116.78031
50,50,-1.5540375,50,12.960406,50,123.533966,50,-113.41645,50,-0.37392956,50,-13.869883,50,-20.857937,50,4.1676016,50,8.543488,50,-64.12855,50,-132.42346
51,51,-1.373518,51,13.0109415,51,144.56612,51,-119.5284,51,0.91133493,51,-8.388251,51,-14.913086,51,4.369206,51,-5.96818,51,-13.175601,51,-29.858921
52,52,-1.1656415,52,12.88191,52,165.02333,52,-123.19024,52,2.1979735,52,-0.844767,52,-4.8204093,52,2.8621335,52,-17.468122,52,47.83363,52,101.49884
53,53,-0.9303094,53,12.560399,53,184.42412,53,-124.03866,53,3.2545161,53,7.3271694,53,6.851894,53,0.44954273,53,-19.798399,53,64.20612,53,144.14503
54,54,-0.66767806,54,12.035521,54,202.26949,54,-121.75326,54,3.8639889,54,14.482036,54,17.041979,54,-1.7700968,54,-11.652807,54,21.821,54,57.87583
55,55,-0.37816483,55,11.298693,55,218.05267,55,-116.06919,55,3.8653443,55,19.100836,55,23.016737,55,-2.902344,55,2.6630516,55,-40.603703,55,-81.816765
56,56,-0.062453512,56,10.343899,56,231.26927,56,-106.78882,56,3.189071,56,20.118486,56,23.118515,56,-2.629958,56,15.4997425,56,-66.30519,56,-149.54291
57,57,0.27850327,57,9.167902,57,241.42792,57,-93.79269,57,1.8797555,57,17.168362,57,17.2286,57,-1.2999547,57,19.974457,57,-31.387697,57,-83.0397
58,58,0.64348257,58,7.7704253,58,248.06163,58,-77.04885,58,0.100098126,58,10.687646,58,6.816941,58,0.29899737,58,13.713789,58,33.461987,58,58.917538
59,59,1.0309942,59,6.154299,59,250.73885,59,-56.62075,59,-1.8862399,59,1.8557552,59,-5.4385285,59,1.3494005,59,0.1753088,59,69.971725,59,148.31009
60,60,1.4392865,60,4.3255863,60,249.0748,60,-32.67285,60,-3.7518575,60,-7.626485,60,-16.360529,60,1.4045748,60,-13.218424,60,44.255196,60,103.95247
61,61,1.8663576,61,2.293674,61,242.74182,61,-5.4741645,61,-5.158001,61,-15.874493,61,-23.116524,61,0.5847737,61,-19.153973,61,-22.389015,61,-34.060455
62,62,2.3099668,62,0.07129804,62,231.4804,62,24.600882,62,-5.8139663,62,-21.205418,62,-23.968796,62,-0.51825947,62,-14.477604,62,-71.53035,62,-140.59035
63,63,2.7676501,63,-2.3254914,63,215.10736,63,57.074257,63,-5.5333667,63,-22.490665,63,-18.728086,63,-1.1738555,63,-1.9535849,63,-58.990917,63,-119.645836
64,64,3.2367349,64,-4.8774233,64,193.52534,64,91.36877,64,-4.276827,64,-19.399813,64,-8.790744,64,-0.913013,64,11.293495,64,5.7087274,64,8.472111
65,65,3.7143586,65,-7.5621586,65,166.72917,65,126.81565,65,-2.1722379,65,-12.482346,65,3.2458785,65,0.2048305,65,17.811779,65,66.93313,65,126.907745
66,66,4.197488,66,-10.354445,66,134.81163,66,162.66469,66,0.49297777,66,-3.0673177,66,14.280716,66,1.5961959,66,14.056928,66,71.2932,66,129.59077
67,67,4.6829424,67,-13.226342,67,97.967476,67,198.09705,67,3.3085744,67,7.00026,67,21.526974,67,2.4352815,67,2.3992612,67,14.459492,67,16.72701
68,68,5.1674213,68,-16.147459,68,56.495575,68,232.24117,68,5.803033,68,15.732603,68,23.230381,68,2.0827687,68,-10.274166,68,-54.77154,68,-108.08401
69,69,5.647532,69,-19.085274,69,10.799075,69,264.19,69,7.521011,69,21.40431,69,19.099157,69,0.45402065,69,-16.575817,69,-76.87927,69,-133.66338
70,70,6.11981,70,-22.005499,70,-38.616306,70,293.02115,70,8.104218,70,22.904785,70,10.339489,70,-1.8621123,70,-12.92716,70,-33.365345,70,-40.560863
71,71,6.580752,71,-24.872484,71,-91.146,71,317.81805,71,7.361605,71,19.963774,71,-0.7011792,71,-3.8133037,71,-1.6408291,71,37.47063,71,85.15676
72,72,7.026836,72,-27.649649,72,-146.09248,72,337.6924,72,5.315644,72,13.203006,72,-11.176392,72,-4.3493333,72,10.458594,72,74.363785,72,132.08235
73,73,7.454557,73,-30.299885,73,-202.67303,73,351.8071,73,2.2147272,73,4.003324,73,-18.489681,73,-2.942105,73,16.080893,73,46.582207,73,62.204857
74,74,7.860451,74,-32.786045,74,-260.02963,74,359.39963,74,-1.4929445,74,-5.7838936,74,-20.949816,74,0.08416132,74,11.809998,74,-19.908468,74,-59.30796
75,75,8.241131,75,-35.071335,75,-317.24097,75,359.805,75,-5.222164,75,-14.219697,75,-18.16443,75,3.5896368,75,0.17173976,75,-66.225555,75,-125.33165
76,76,8.593299,76,-37.119884,76,-373.33514,76,352.47684,76,-8.341781,76,-19.673943,76,-11.08042,76,6.044945,76,-11.815793,76,-52.783295,76,-80.967636
77,77,8.913791,77,-38.897236,77,-427.3052,77,337.00842,77,-10.280117,77,-21.152042,77,-1.6765034,77,6.19,77,-16.789537,77,6.384185,77,31.804977
78,78,9.199583,78,-40.37084,78,-478.1249,78,313.1497,78,-10.627318,78,-18.484627,78,7.594799,78,3.6457646,78,-11.464352,78,57.224007,78,114.07561
79,79,9.447822,79,-41.510464,79,-524.76624,79,280.8234,79,-9.216677,79,-12.3425665,79,14.457277,79,-0.80735075,79,1.2863303,79,54.505447,79,96.259346
80,80,9.655841,80,-42.288757,80,-566.21735,80,240.13654,80,-6.1693716,80,-4.077113,80,17.378546,80,-5.446696,80,13.972673,80,2.0757914,80,-3.9492958
81,81,9.821188,81,-42.68153,81,-601.50073,81,191.38936,81,-1.8924905,81,4.5776935,81,15.9116,81,-8.272502,81,18.826685,81,-51.285084,81,-99.07724
82,82,9.941635,82,-42.66822,82,-629.6929,82,135.07951,82,2.9722683,82,11.87489,82,10.735029,82,-7.865662,82,12.447647,82,-56.374638,82,-107.56466
83,83,10.015196,83,-42.232243,83,-649.9408,83,71.902374,83,7.643411,83,16.416813,83,3.400699,83,-4.0721793,83,-1.9782073,83,-8.299473,83,-22.976479
84,84,10.040137,84,-41.361313,84,-661.483,84,2.7468092,84,11.32424,84,17.43318,84,-4.125501,84,1.8070829,84,-16.274282,84,48.872643,84,81.13029
85,85,10.014978,85,-40.047768,85,-663.66345,85,-71.313805,85,13.337484,85,14.918006,85,-9.995041,85,7.4498787,85,-21.886778,85,61.90546,85,114.43875
