,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_plot_x,ax_00_0_plot_y,preserved 0,preserved 1,ax_01_0_plot_x,ax_01_0_plot_y,ax_02_0_plot_x,ax_02_0_plot_y,ax_03_0_plot_x,ax_03_0_plot_y
0,xlabel,X-Axis Label,auto,auto,0.0,0.22414663,NONE_STR,NONE_STR,0.0,1.3254316,0.0,-1.4008675,0.0010005003,39.890923
1,xrot,0,,,0.0010005003,0.6150927,NONE_STR,NONE_STR,0.0010005003,1.5065405,0.0010005003,-1.1502255,0.0020010006,13.246127
2,xmm,40,,,0.0020010006,0.53730905,NONE_STR,NONE_STR,0.0020010006,1.1130037,0.0020010006,-1.0669975,0.0030015009,-9.216923
3,xscale,linear,,,0.0030015009,0.5244508,NONE_STR,NONE_STR,0.0030015009,1.2160939,0.0030015009,-1.1249092,0.004002001,12.681043
4,xmin,auto,,,0.004002001,0.57495373,NONE_STR,NONE_STR,0.004002001,1.1460079,0.004002001,-1.0452318,0.0050025014,14.034407
5,xmax,auto,,,0.0050025014,0.7047727,NONE_STR,NONE_STR,0.0050025014,1.2237054,0.0050025014,-0.957051,0.0060030017,16.336712
6,xticks,['auto'],,,0.0060030017,0.71997905,NONE_STR,NONE_STR,0.0060030017,1.0964129,0.0060030017,-0.85440445,0.007003502,18.742949
7,ylabel,Y-Axis Label,,,0.007003502,0.8121146,NONE_STR,NONE_STR,0.007003502,1.0963697,0.007003502,-0.7366391,0.008004002,-14.150064
8,yrot,0,,,0.008004002,0.5460475,NONE_STR,NONE_STR,0.008004002,0.80519515,0.008004002,-0.82554644,0.009004503,-10.010439
9,ymm,28,,,0.009004503,0.7554428,NONE_STR,NONE_STR,0.009004503,1.1979356,0.009004503,-0.8884438,0.010005003,66.754814
10,yscale,linear,,,0.010005003,0.90045714,NONE_STR,NONE_STR,0.010005003,1.0094633,0.010005003,-0.469011,0.011005503,-52.687923
