,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_plot_x,ax_02_0_plot_y,ax_03_0_plot_x,ax_03_0_plot_y
0,xlabel,X-Axis Label,auto,auto,0,0,0.0017589629,NONE_STR,0,0,-1.4161288,2.0,0.0034874799,30.0,0.0012710083
1,xrot,0,,,0,1,0.0014584959,NONE_STR,0,1,-1.6292706,2.1136441,0.0031662586,31.273354,0.0010615075
2,xmm,40,,,0,2,0.003465712,NONE_STR,0,2,-0.68419194,2.2337456,0.003801416,32.600754,0.0010781586
3,xscale,linear,,,0,3,0.0041309297,NONE_STR,0,3,-0.21262893,2.3606718,0.0032714773,33.984497,0.0011227899
4,xmin,auto,,,0,4,0.0037501603,NONE_STR,0,4,-0.506342,2.4948099,0.003360128,35.42697,0.0011785415
5,xmax,auto,,,0,5,0.0047320575,NONE_STR,0,5,0.0037562663,2.63657,0.0020811013,36.930676,0.0011930427
6,xticks,['auto'],,,0,6,0.0049027354,NONE_STR,0,6,0.00474621,2.7863853,0.0019929179,38.4982,0.0012882545
7,ylabel,Y-Axis Label,,,0,7,0.005575165,NONE_STR,0,7,0.38031814,2.9447134,0.0023455713,40.13226,0.0015821808
8,yrot,0,,,0,8,0.0053667575,NONE_STR,0,8,0.24906191,3.1120381,0.0023798759,41.83568,0.0016501105
9,ymm,28,,,0,9,0.0048711,NONE_STR,0,9,-0.21105237,3.2888703,0.0016447571,43.611397,0.0016175205
10,yscale,linear,,,0,10,0.0058695823,NONE_STR,0,10,0.018486235,3.4757507,0.0010768354,45.46249,0.0018670901
11,ymin,auto,,,0,11,0.0050271153,NONE_STR,0,11,-0.02795614,3.67325,0.0010332072,47.39215,0.0019293263
12,ymax,auto,,,0,12,0.0027253926,NONE_STR,0,12,-1.0952833,3.8819716,0.0008702874,49.403713,0.0015292082
13,yticks,['auto'],,,0,13,0.0031176955,NONE_STR,0,13,-0.98686296,4.102553,0.0010111481,51.50066,0.00393371
14,,,,,0,14,0.0023952276,NONE_STR,0,14,-1.6126146,4.3356686,0.0025112135,53.68661,0.003824603
15,,,,,0,15,0.002245441,NONE_STR,0,15,-1.862404,4.58203,0.002869285,55.965343,0.0024097308
16,,,,,0,16,0.0025026053,NONE_STR,0,16,-1.4494364,4.8423905,0.0029648177,58.3408,0.0032221377
17,,,,,0,17,0.0027071536,NONE_STR,0,17,-1.3009793,5.1175447,0.0030598436,60.81708,0.0040952098
18,,,,,0,18,0.0024561733,NONE_STR,0,18,-1.6008091,5.4083343,0.0030069398,63.398468,0.0027707184
19,,,,,0,19,0.0024655014,NONE_STR,0,19,-1.6738724,5.7156467,0.002951225,66.089424,0.0034819217
20,,,,,0,20,0.003346786,NONE_STR,0,20,-1.0540373,6.0404215,0.0028568658,68.8946,0.007280182
21,,,,,0,21,0.0031549484,NONE_STR,0,21,-0.84124154,6.383651,0.0030225227,71.81883,0.0029240495
22,,,,,0,22,0.0030288994,NONE_STR,0,22,-0.9634712,6.7463827,0.0150840925,74.867195,0.001998711
23,,,,,0,23,0.0032569915,NONE_STR,0,23,-0.51560366,7.129726,0.007771236,78.04494,0.0023370562
24,,,,,0,24,0.0032821,NONE_STR,0,24,-0.5392579,7.5348516,0.0016224465,81.35757,0.0025864139
25,,,,,0,25,0.0031044483,NONE_STR,0,25,-0.7950168,7.962997,0.0013237363,84.8108,0.0020073198
26,,,,,0,26,0.0028941482,NONE_STR,0,26,-1.4551966,8.415471,0.0013184828,88.4106,0.001957483
27,,,,,0,27,0.0031062216,NONE_STR,0,27,-1.5461727,8.893655,0.0013353929,92.1632,0.003461401
28,,,,,0,28,0.004177168,NONE_STR,0,28,-0.27664053,9.399011,0.0021693043,96.07507,0.002398873
29,,,,,0,29,0.004678324,NONE_STR,0,29,0.0582383,9.933082,0.020442573,100.15299,0.0025391376
30,,,,,0,30,0.00365749,NONE_STR,0,30,-0.62271893,10.497499,0.0015306341,104.404,0.006189763
31,,,,,0,31,0.0026402622,NONE_STR,0,31,-1.4154153,11.093989,0.0014831057,108.835434,0.0022246633
32,,,,,0,32,0.0026350766,NONE_STR,0,32,-1.557076,11.724372,0.0012625739,113.45496,0.0020409024
33,,,,,0,33,0.002710238,NONE_STR,0,33,-1.3300482,12.390574,0.0012889829,118.27058,0.0027963049
34,,,,,0,34,0.0027091056,NONE_STR,0,34,-1.3059599,13.094632,0.001151295,123.29058,0.0025792832
35,,,,,0,35,0.0026691258,NONE_STR,0,35,-1.4502957,13.8386965,0.0011384531,128.52367,0.001973757
