,visual parameter label,visual parameter value,xticks,yticks,ax_00_0_imshow_row,ax_00_0_imshow_col,ax_00_0_imshow_value,preserved 0,ax_01_0_imshow_row,ax_01_0_imshow_col,ax_01_0_imshow_value,ax_02_0_imshow_row,ax_02_0_imshow_col,ax_02_0_imshow_value,ax_04_0_bar_x,ax_04_0_bar_y,ax_05_0_bar_x,ax_05_0_bar_y
0,xlabel,X-Axis Label,auto,auto,0,0,0.0019009709,NONE_STR,0,0,0.00078976154,0,0,-0.0011112094,Static,93.68777275085449,Static,0.7606024742126465
1,xrot,0,,,0,1,0.0023819804,NONE_STR,0,1,0.0019741058,0,1,-0.00040787458,Trainable,89.4460678100586,Trainable,0.7606024742126465
2,xmm,40,,,0,2,0.0036025643,NONE_STR,0,2,0.00049072504,0,2,-0.0031118393,,,,
3,xscale,linear,,,0,3,0.0037192702,NONE_STR,0,3,0.000643909,0,3,-0.0030753613,,,,
4,xmin,auto,,,0,4,0.0029156208,NONE_STR,0,4,0.001521647,0,4,-0.0013939738,,,,
5,xmax,auto,,,0,5,0.0027205944,NONE_STR,0,5,0.0017607808,0,5,-0.0009598136,,,,
6,xticks,['auto'],,,0,6,0.0024384856,NONE_STR,0,6,0.0014849901,0,6,-0.0009534955,,,,
7,ylabel,Y-Axis Label,,,0,7,0.0031228065,NONE_STR,0,7,0.0014213324,0,7,-0.0017014742,,,,
8,yrot,0,,,0,8,0.0032785535,NONE_STR,0,8,0.00063699484,0,8,-0.0026415586,,,,
9,ymm,28,,,0,9,0.0038371086,NONE_STR,0,9,0.0006400347,0,9,-0.003197074,,,,
10,yscale,linear,,,0,10,0.006405115,NONE_STR,0,10,0.0015229583,0,10,-0.004882157,,,,
11,ymin,auto,,,0,11,0.0072499514,NONE_STR,0,11,0.0011202693,0,11,-0.006129682,,,,
12,ymax,auto,,,0,12,0.005560696,NONE_STR,0,12,0.00143677,0,12,-0.004123926,,,,
13,yticks,['auto'],,,0,13,0.0045353174,NONE_STR,0,13,0.0008841157,0,13,-0.0036512017,,,,
14,,,,,0,14,0.003916502,NONE_STR,0,14,0.0006234646,0,14,-0.0032930374,,,,
15,,,,,0,15,0.0045910478,NONE_STR,0,15,0.002112925,0,15,-0.0024781227,,,,
16,,,,,0,16,0.005458832,NONE_STR,0,16,0.00079864264,0,16,-0.004660189,,,,
17,,,,,0,17,0.005322218,NONE_STR,0,17,0.0019120574,0,17,-0.0034101605,,,,
18,,,,,0,18,0.0039786696,NONE_STR,0,18,0.0027592778,0,18,-0.0012193918,,,,
19,,,,,0,19,0.0028924942,NONE_STR,0,19,0.0017091632,0,19,-0.001183331,,,,
20,,,,,0,20,0.0038999915,NONE_STR,0,20,0.0008202791,0,20,-0.0030797124,,,,
21,,,,,0,21,0.0031911135,NONE_STR,0,21,0.0011731982,0,21,-0.0020179152,,,,
22,,,,,0,22,0.0031208396,NONE_STR,0,22,0.0005571246,0,22,-0.002563715,,,,
23,,,,,0,23,0.0033546686,NONE_STR,0,23,0.00053042173,0,23,-0.0028242469,,,,
24,,,,,0,24,0.003347218,NONE_STR,0,24,0.00079751015,0,24,-0.002549708,,,,
25,,,,,0,25,0.0030263066,NONE_STR,0,25,0.00073462725,0,25,-0.0022916794,,,,
